Columna,Tipo_Dato,Valores_Faltantes,Porcentaje_Faltante,Valores_No_Faltantes
away_yellow_red_card,object,345,99.13793103448276,3
away_penalty_miss_long,object,341,97.98850574712644,7
home_red_card,object,340,97.70114942528735,8
home_penalty_shootout_miss_long,object,340,97.70114942528735,8
home_yellow_red_card,object,340,97.70114942528735,8
away_penalty_shootout_miss_long,object,338,97.12643678160919,10
home_penalty,float64,337,96.83908045977012,11
home_penalty_shootout_goal_long,object,337,96.83908045977012,11
away_penalty,float64,337,96.83908045977012,11
away_penalty_shootout_goal_long,object,337,96.83908045977012,11
away_red_card,object,337,96.83908045977012,11
home_penalty_miss_long,object,335,96.26436781609196,13
away_own_goal,object,335,96.26436781609196,13
home_own_goal,object,330,94.82758620689656,18
Notes,object,328,94.25287356321839,20
away_penalty_goal,object,313,89.9425287356322,35
home_penalty_goal,object,294,84.48275862068965,54
away_xg,float64,232,66.66666666666666,116
home_xg,float64,232,66.66666666666666,116
away_captain,object,180,51.724137931034484,168
away_manager,object,180,51.724137931034484,168
home_captain,object,180,51.724137931034484,168
home_manager,object,180,51.724137931034484,168
away_goal,object,148,42.5287356321839,200
away_goal_long,object,148,42.5287356321839,200
home_yellow_card_long,object,135,38.793103448275865,213
away_yellow_card_long,object,118,33.90804597701149,230
home_goal_long,object,96,27.586206896551722,252
home_goal,object,96,27.586206896551722,252
Referee,object,7,2.0114942528735633,341
away_substitute_in_long,object,5,1.4367816091954022,343
home_substitute_in_long,object,4,1.1494252873563218,344
Officials,object,3,0.8620689655172413,345
away_team,object,0,0.0,348
Year,int64,0,0.0,348
Host,object,0,0.0,348
Score,object,0,0.0,348
Date,object,0,0.0,348
Round,object,0,0.0,348
Venue,object,0,0.0,348
Attendance,int64,0,0.0,348
away_score,int64,0,0.0,348
home_score,int64,0,0.0,348
home_team,object,0,0.0,348
